	Adresa městského úřadu	Adresa obecního úřadu	Adresa úřadu městyse	Historická země	Jmeno	Katastrální výměra	Katastrální území	Kraj (NUTS 3)	LAU (obec)	Nadmořská výška	Obec s rozšířenou působností	Obec s rozšířenou působností a pověřená obec	Okres (LAU 1)	PSČ	Pověřená obec	Počet obyvatel	Starosta	Status	Zeměpisné souřadnice	Zákl. sídelní jednotky	Části obce
0		Dobřív 30533844 Dobřív		Čechy	Dobřív	27,12 km²	3	Plzeňský (CZ032)	CZ0326 559776	417 m n. m.		Rokycany	Rokycany (CZ0326)	338 44		1 264 (2018)[1] (e)	Jiří Ondřejíček	obec	49°42′57″ s. š., 13°41′13″ v. d.	2	2
1		Bezděkov 8338 24 Břasy 1		Čechy	Bezděkov (okres Rokycany)	1,2 km²	1	Plzeňský (CZ032)	CZ0326 541095	468 m n. m.	Rokycany		Rokycany (CZ0326)	338 24	Radnice	137 (2018)[1] (e)	Josef Král	obec	49°49′28″ s. š., 13°35′48″ v. d.	1	1
2		Břasy 350338 24 Břasy 1		Čechy	Břasy	21,5 km²	4	Plzeňský (CZ032)	CZ0326 559725	458 m n. m.	Rokycany		Rokycany (CZ0326)	338 24	Radnice	2 290 (2018)[1] (e)	Ing. Mgr. Miroslav Kroc	obec	49°50′14″ s. š., 13°34′42″ v. d.	7	5
3		Březina 8833824 Břasy 1		Čechy	Březina (okres Rokycany)	7,62 km²	1	Plzeňský (CZ032)	CZ0326 559733	483 m n. m.		Rokycany	Rokycany (CZ0326)	338 24		357 (2018)[1] (e)	Radek Aubrecht	obec	49°48′27″ s. š., 13°35′49″ v. d.	1	1
4		Bujesily 133141 Kralovice		Čechy	Bujesily	6,2 km²	1	Plzeňský (CZ032)	CZ0326 559741	345 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	Radnice	60 (2018)[1] (e)	Ing. Pavel Trepeš	obec	49°54′53″ s. š., 13°34′28″ v. d.	1	1
5		Sedlecko 48Bušovice338 24 Břasy 1		Čechy	Bušovice	11,2 km²	3	Plzeňský (CZ032)	CZ0326 559750	380 m n. m.		Rokycany	Rokycany (CZ0326)	338 23		596 (2018)[1] (e)	Mgr. Luboš Pták	obec	49°47′44″ s. š., 13°32′5″ v. d.	3	3
6		Cekov 2333808 Zbiroh		Čechy	Cekov	4,29 km²	1	Plzeňský (CZ032)	CZ0326 559768	463 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	130 (2018)[1] (e)	Josef Holub	obec	49°49′19″ s. š., 13°45′50″ v. d.	1	1
7		Čilá 633808 Zbiroh		Čechy	Čilá	1,9 km²	1	Plzeňský (CZ032)	CZ0326 540927	332 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	16 (2018)[1] (e)	František Hájek	obec	49°57′42″ s. š., 13°44′32″ v. d.	1	1
8		Drahoňův Újezd 20338 08 Zbiroh		Čechy	Drahoňův Újezd	13,99 km²	1	Plzeňský (CZ032)	CZ0326 530379	410 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	132 (2018)[1] (e)	Hana Brabcová	obec	49°52′38″ s. š., 13°43′33″ v. d.	1	1
9		Ejpovice 24337 01 Rokycany 1		Čechy	Ejpovice	7,69 km²	1	Plzeňský (CZ032)	CZ0326 559792	347 m n. m.		Rokycany	Rokycany (CZ0326)	337 01		676 (2018)[1] (e)	Jaromír Kalčík	obec	49°44′46″ s. š., 13°30′52″ v. d.	1	1
